,GlobalIndex,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include,Mth_p,Mth_n,B_th (W.u.),B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
135,145,26,Al,13,13,3962.83,0.05,3,37 FS 5,2904.92,0.0,15.9,0.6,[E2],,,,,1.8,0.3,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,8.236093279595465,1.3726822132659109,26Al,1,2,7,1,True,0.4769,0.4769,1.8279241169263258,2.20737123164633,1.8078922229991357,-0.22631735091462768,-0.004384568332853118,-0.10031066504054302,-0.0019433727180295224,0.10031066504054302,0.0019433727180295224
14,18,18,F,9,9,1121.36,0.15,5,162 NS 7,184.0,0.0,100.0,0.0,E2,,,,,5.78,0.25,10,162.0,NS,7.0,1.6200000000000002e-07,7.0000000000000015e-09,16.197281603211252,0.7005744638067151,18F,3,6,1,1,True,-0.7026,-0.7026,5.8560263016059935,7.07164147036106,5.791851155262466,-0.22346738241540826,-0.0020503728827795933,-0.31831793795486496,-0.0029206520478756463,0.31831793795486496,0.0029206520478756463
185,229,31,P,15,16,5342.9,1.5,9/2,36 FS 8,3109.4,0.6,19.0,2.0,E2,,,,,1.4,0.4,9,36.0,FS,8.0,3.6000000000000004e-14,8e-15,8.098935030156303,2.313981437187516,31P,5/2,5,1,1,True,-0.5345,-0.2525,1.48369035914713,1.7390229022039052,1.4266954863276733,-0.24215921585993236,-0.0190682045197667,-0.08330404532749329,-0.006559562757038906,0.08330404532749329,0.006559562757038906
139,149,26,Al,13,13,4205.86,0.05,4,62 FS 10,2446.7,0.0,1.67,0.11,[E2],,,,,0.25,0.05,8,62.0,FS,10.0,6.2e-14,1.0000000000000002e-14,1.1439018443882591,0.2287803688776518,26Al,2,4,3,1,True,0.192,0.192,0.2962824828149722,0.3577858746708999,0.2930355760023339,-0.4311434986835996,-0.1721423040093355,-0.026611768265461543,-0.010625258450994072,0.026611768265461543,0.010625258450994072
154,185,26,Si,14,12,4139.06,0.2,2,35 FS 3,4141.0,3.0,11.8,5.9,[E2],,,,,0.28,0.15,4,35.0,FS,3.0,3.5e-14,3.0000000000000002e-15,1.2811700657148504,0.6863411066329554,26Si,0,0,3,1,True,-0.2075,-0.0487,0.23701591887528795,0.2732779846833924,0.2244070130320982,0.02400719755931285,0.19854638202822078,0.0016586196589366384,0.013717258402574534,0.0016586196589366384,0.013717258402574534
204,251,34,S,16,18,4889.756,0.022,2,29 FS 10,4889.3,0.08,90.0,10.0,E2,,,,,0.35,0.13,4,29.0,FS,10.0,2.9e-14,1.0000000000000002e-14,2.2901163886152136,0.8506146586285079,34S,0,0,4,1,True,-0.2617,-0.0795,0.29593102506278257,0.3429184594522281,0.2815131641894994,0.020232972993633948,0.19567667374428738,0.0017476284444447072,0.01690162493952026,0.0017476284444447072,0.01690162493952026
172,216,30,Si,14,16,4810.31,0.11,2,104 FS 15,4810.0,0.3,100.0,7.0,E2,,,0.001434,2e-05,0.17,0.03,4,104.0,FS,15.0,1.0400000000000001e-13,1.5000000000000002e-14,0.9413725896307544,0.1661245746407213,30Si,0,0,3,1,True,-0.1837,-0.2015,0.24385864642962365,0.29586221794145773,0.24225522946355557,-0.7403659878909277,-0.42503076155032676,-0.03107623828974222,-0.017840307959087993,0.03107623828974222,0.017840307959087993
91,100,26,Mg,12,14,4835.13,0.05,2,28 FS 6,4834.61,0.18,10.8,0.9,E2,,,,,0.15,0.04,4,28.0,FS,6.0,2.8e-14,6.000000000000001e-15,0.6863411066329554,0.1830242951021214,26Mg,0,0,4,1,True,0.2967,-0.211,0.26718394554952535,0.27974878666142017,0.2310178956897388,-0.8649919110761345,-0.5401193045982587,-0.03203517503207907,-0.020003443083627972,0.03203517503207907,0.020003443083627972
216,267,34,Ar,18,16,3287.7,0.5,2,194 FS 35,3286.0,4.0,9.0,6.0,[E2],,,,,0.1,0.07,4,194.0,FS,35.0,1.94e-13,3.5e-14,0.6543189681757754,0.4580232777230428,34Ar,0,0,2,1,True,0.4066,-0.5177,0.23919532424156026,0.22613008588513653,0.18791013597500256,-1.2613008588513652,-0.8791013597500255,-0.03113858033895493,-0.02170296493858687,0.03113858033895493,0.02170296493858687
169,213,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,4893.8,1.2,33.0,4.0,(E2),,,,,0.6,0.3,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,3.175651735248459,1.5878258676242294,29Si,1/2,1,3,1,True,0.3614,0.1651,0.7212939627243913,0.8445693807593188,0.6929249430602759,-0.40761563459886463,-0.15487490510045981,-0.06022250794042314,-0.022881740567589844,0.06022250794042314,0.022881740567589844
183,227,31,P,15,16,4634.2,0.8,7/2,68 FS 10,3367.6,0.7,9.0,3.0,[E2],,,,,0.1,0.04,7,68.0,FS,10.0,6.8e-14,1.0000000000000002e-14,0.5784953592968789,0.2313981437187515,31P,3/2,3,2,1,True,0.049,-0.2522,0.002377395386219743,0.005587027865011047,0.004432293790946709,0.9441297213498896,0.9556770620905328,0.02331070806492943,0.023595813684257397,0.02331070806492943,0.023595813684257397
78,86,25,Mg,12,13,2563.36,0.05,1/2,10 FS 5,2563.6,0.4,5.0,1.4,E2,,,,,4.0,3.0,1,10.0,FS,5.0,1.0000000000000002e-14,5.000000000000001e-15,17.369912224383828,13.027434168287872,25Mg,5/2,5,2,1,True,-0.5229,-1.168,3.739655962270335,4.734108258185325,3.867260400750375,-0.18352706454633116,0.03318489981240624,-0.1456538201379258,0.026336755510798757,0.1456538201379258,0.026336755510798757
178,222,32,Si,14,18,4230.8,0.8,2,0.26 PS 0.09,4230.0,1.5,100.0,5.0,[E2],,,,,0.17,0.06,4,0.26,PS,0.09,2.6e-13,9e-14,1.0259664993149051,0.3621058232876135,32Si,0,0,2,1,True,-0.3143,0.1019,0.31478382571100993,0.3454811020508544,0.2845070907124464,-1.0322417767697316,-0.6735711218379199,-0.04332391309500532,-0.028270253541889948,0.04332391309500532,0.028270253541889948
17,21,18,F,9,9,4115.9,0.25,3,63 FS 15,4116.0,0.0,5.0,3.0,E2,,,,,0.15,0.04,6,63.0,FS,15.0,6.300000000000001e-14,1.5000000000000002e-14,0.420344678284029,0.1120919142090744,18F,1,2,3,1,True,0.1052,-0.1052,0.03963468686502907,0.03963468686502907,0.03282148419293059,0.7357687542331395,0.7811901053804626,0.027249365598886823,0.02893155582005058,0.027249365598886823,0.02893155582005058
62,67,23,Na,11,12,6115.1,0.6,11/2,35 FS 9,4038.0,1.0,30.0,3.0,[E2],,,0.00118,,0.89,0.25,11,35.0,FS,9.0,3.5e-14,9.000000000000001e-15,3.4581572863142447,0.9713924961556868,23Na,7/2,7,2,1,True,-0.3371,-0.3237,1.0205397459359373,1.229943906035698,1.0074665375534184,-0.38195944498393036,-0.1319848736555263,-0.08377730637539622,-0.028948982260727153,0.08377730637539622,0.028948982260727153
22,27,19,F,9,10,197.143,0.004,5/2,89.3 NS 1,197.1,0.0,100.0,0.0,E2,,,,,6.95,0.08,5,89.3,NS,1.0,8.93e-08,1e-09,20.931831343807968,0.2409419435258471,19F,1/2,1,1,1,True,0.6377,1.2263,6.644227971378738,8.329501052680921,6.807943697925629,-0.19848936009797427,0.020439755694154106,-0.3405511114819355,0.03506878916143193,0.3405511114819355,0.03506878916143193
192,239,31,S,16,15,2234.29,0.14,5/2,222 FS 55,2234.2,0.2,100.0,1.0,E2,,,,,7.8,2.2,5,222.0,FS,55.0,2.2200000000000001e-13,5.5000000000000005e-14,45.12263802515655,12.726897904531336,31S,1/2,1,1,1,True,1.0869,1.033,7.726329928119833,9.3070651053456,7.623776383670196,-0.19321347504430778,0.022592771324333773,-0.32698603177489116,0.03823501772041181,0.32698603177489116,0.03823501772041181
202,249,34,S,16,18,4114.813,0.023,2,73 FS 6,4114.52,0.04,100.0,10.0,E2,,,,,0.57,0.09,4,73.0,FS,6.0,7.3e-14,6.000000000000001e-15,3.7296181186019193,0.5888870713581977,34S,0,0,3,1,True,-0.2856,-0.173,0.41161525643258706,0.4864813287270265,0.39892190920582743,0.14652398468942715,0.30013700139328514,0.02061680420084662,0.04223107776020708,0.02061680420084662,0.04223107776020708
74,82,24,Mg,12,12,4238.24,0.03,2,41 FS 4,4237.96,0.06,100.0,0.6,E2,,,,,1.94,0.19,4,41.0,FS,4.0,4.1e-14,4e-15,7.978128122899344,0.7813630635829255,24Mg,0,0,2,1,True,0.4522,0.4522,1.7877193841298276,2.1588206546671027,1.7681280866887237,-0.11279415189025917,0.08859376974808056,-0.05397043258718466,0.042390886386426775,0.05397043258718466,0.042390886386426775
90,99,26,Mg,12,14,4332.52,0.05,2,20 FS 3,4332.2,0.3,7.6,0.8,[E2],,,,,0.24,0.05,4,20.0,FS,3.0,2.0000000000000003e-14,3.0000000000000002e-15,1.0981457706127289,0.2287803688776518,26Mg,0,0,3,1,True,0.0487,0.2075,0.057351633861010554,0.07584470444792285,0.061810835094177126,0.6839803981336547,0.742454853774262,0.0405290832228096,0.043993972107832235,0.0405290832228096,0.043993972107832235
212,263,35,Cl,17,18,3943.82,0.25,9/2,205 FS 35,2180.0,1.0,100.0,2.2,[E2],,,,,7.1,1.3,9,205.0,FS,35.0,2.05e-13,3.5e-14,48.28734889490153,8.841345572305913,35Cl,5/2,5,1,1,True,1.0842,1.0937,6.961226930217628,8.409899275213336,6.887751397043731,-0.18449285566385018,0.02989416943046038,-0.30795595829789885,0.04989942597696499,0.30795595829789885,0.04989942597696499
131,141,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,3680.4,0.0,0.77,0.08,[E2],,,,,0.16,0.04,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.7320971804084858,0.1830242951021214,26Al,5,10,6,1,True,0.2151,0.2151,0.3718641731149078,0.4490570862394733,0.3677889800572846,-1.8066067889967083,-1.2986811253580288,-0.07136863927759328,-0.0513034188384559,0.07136863927759328,0.0513034188384559
99,108,26,Mg,12,14,6622.94,0.14,4,19 FS 5,2290.2,0.3,26.2,1.4,[E2],,,,,12.0,4.0,8,19.0,FS,5.0,1.9e-14,5.000000000000001e-15,54.90728853063644,18.302429510212143,26Mg,2,4,5,3,True,-1.1766,-1.4473,12.309811245802573,15.026349432989159,12.299560665255521,-0.25219578608242993,-0.02496338877129345,-0.5316548892301335,-0.052625414160063985,0.5316548892301335,0.052625414160063985
114,123,26,Al,13,13,2069.47,0.03,2,14 FS 2,1841.09,0.0,4.0,0.5,E2,,,,,12.6,2.4,4,14.0,FS,2.0,1.4e-14,2e-15,57.65265295716826,10.981457706127289,26Al,0,0,2,1,True,-1.2461,-1.2461,12.479848406236753,15.07046057992604,12.34308397647393,-0.19606829999413022,0.02039016059730717,-0.5247694619968754,0.05457350120850288,0.5247694619968754,0.05457350120850288
165,196,28,Si,14,14,8258.74,0.1,2,10 FS 2,3640.4,0.0,5.7,1.5,(E2),,,,,0.7,0.24,4,10.0,FS,2.0,1.0000000000000002e-14,2e-15,3.5355721375715485,1.2121961614531025,28Si,4,8,5,1,True,-0.2532,-0.2532,0.47680400934955053,0.5757807141040341,0.47157879936905656,0.17745612270852268,0.3263160009013477,0.030617716228126212,0.056301527182046354,0.030617716228126212,0.056301527182046354
149,180,28,Al,13,15,2581.81,0.22,5,313 FS 25,2582.2,0.5,100.0,2.0,[E2],,,,,2.9,0.3,10,313.0,FS,25.0,3.1300000000000013e-13,2.5e-14,14.647370284224989,1.515245201816378,28Al,3,6,1,1,True,0.5146,0.8672,2.624411816466562,3.2629028962556683,2.668082240533048,-0.12513892974333393,0.07997164119550058,-0.08936082874931518,0.05710718597586126,0.08936082874931518,0.05710718597586126
98,107,26,Mg,12,14,6256.2,1.4,0,53 FS 31,4447.1,0.0,100.0,4.0,E2,,,,,1.2,0.8,0,53.0,FS,31.0,5.3e-14,3.1e-14,5.490728853063644,3.6604859020424296,26Mg,2,4,4,1,True,0.4595,0.3209,1.4741879794871777,1.7518300771373951,1.4360859489735605,-0.459858397614496,-0.19673829081130043,-0.13367146763831722,-0.057187813052501264,0.13367146763831722,0.057187813052501264
93,102,26,Mg,12,14,4901.44,0.07,4,29 FS 6,1962.99,0.24,1.89,0.14,[E2],,,,,2.5,0.6,8,29.0,FS,6.0,2.9e-14,6.000000000000001e-15,11.439018443882592,2.7453644265318218,26Mg,2,4,2,2,True,0.6268,0.4704,2.8126224888853386,3.352216926984604,2.7475682141186346,-0.3408867707938416,-0.09902728564745385,-0.20815208267894972,-0.06046798384565872,0.20815208267894972,0.06046798384565872
170,214,30,Si,14,16,2235.322,0.018,2,215 FS 28,2235.23,0.02,100.0,0.0,E2,,,0.000436,6e-06,8.5,1.1,4,215.0,FS,28.0,2.1500000000000002e-13,2.8e-14,47.06862948153772,6.091234403493117,30Si,0,0,1,1,True,1.0358,1.2827,8.244188744010916,10.067228047164448,8.240188294086153,-0.184379770254641,0.03056608304868793,-0.37344073758678514,0.06190820491356824,0.37344073758678514,0.06190820491356824
200,247,34,S,16,18,3304.212,0.013,2,136 FS 7,3304.031,0.02,87.2,0.9,E2,,,,,0.75,0.04,4,136.0,FS,7.0,1.36e-13,7e-15,4.907392261318315,0.2617275872703101,34S,0,0,2,1,True,-0.5177,0.4066,0.5821358370287697,0.6029877922447074,0.49827130004742737,0.19601627700705673,0.33563826660343016,0.03629754025818202,0.06215220327741376,0.03629754025818202,0.06215220327741376
215,266,34,Ar,18,16,2091.1,0.3,2,319 FS 42,2091.1,0.3,100.0,0.0,E2,,,,,6.8,0.9,4,319.0,FS,42.0,3.19e-13,4.2e-14,44.49368983595272,5.888870713581978,34Ar,0,0,1,1,True,-1.0931,-0.8888,6.663768317855009,7.969602514483784,6.530839390215079,-0.17200036977702704,0.0395824426154295,-0.28191378770313186,0.06487681589710168,0.28191378770313186,0.06487681589710168
