,Unnamed: 0,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include,Mth_p,Mth_n
4,4,17,O,8,9,870.73,0.1,1/2,179.2 PS 1.8,870.71,0.12,100.0,0.0,[E2],,,,,2.39,0.03,1,179.2,PS,1.8,1.7919999999999999e-10,1.8e-12,6.206033044969713,0.0778999963803729,17O,5/2,5,1,1,True,0.0,-1.5451
5,5,18,O,8,10,1982.07,0.09,2,1.94 PS 0.05,1982.0,0.0,100.0,0.0,E2,,,,,3.32,0.09,4,1.94,PS,0.05,1.94e-12,5e-14,9.303628879353177,0.2522068069704174,18O,0,0,1,1,True,0.0,-1.309
6,6,18,O,8,10,3554.84,0.4,4,17.2 PS 0.8,1573.0,0.0,100.0,0.0,E2,,,,,1.19,0.06,8,17.2,PS,0.8,1.72e-11,8e-13,3.3347344477199634,0.1681378713136116,18O,2,4,1,1,True,0.0,-1.1707
7,7,18,O,8,10,3633.76,0.11,0,0.96 PS 0.11,1652.0,0.0,99.7,0.06,E2,,,,,17.0,2.0,0,0.96,PS,0.11,9.6e-13,1.1e-13,47.63906353885663,5.6045957104537205,18O,2,4,2,1,True,0.0,0.4431
8,8,18,O,8,10,3920.44,0.14,2,18.4 FS 2,3920.0,0.0,12.4,0.7,E2,,,,,1.3,0.2,4,18.4,FS,2.0,1.84e-14,2e-15,3.6429872117949182,0.560459571045372,18O,0,0,2,1,True,0.0,0.2496
9,9,18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1699.0,0.0,1.1,0.6,E2,,,,,21.0,12.0,4,7.0,FS,0.3,7e-15,3e-16,58.84825495976406,33.62757426272232,18O,4,8,3,1,True,0.0,-0.5263
10,10,18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1621.0,0.0,1.0,0.6,E2,,,,,23.0,15.0,4,7.0,FS,0.3,7e-15,3e-16,64.45285067021779,42.0344678284029,18O,0,0,3,2,True,0.0,0.0331
11,11,18,O,8,10,5336.4,0.6,0,139 FS 28,3354.0,0.0,58.0,2.0,E2,,,,,2.0,0.4,0,139.0,FS,28.0,1.3900000000000001e-13,2.8e-14,5.6045957104537205,1.120919142090744,18O,2,4,3,1,True,0.0,0.1581
12,12,18,O,8,10,8213.0,4.0,2,1.0 KEV 0.8,4658.0,0.0,3.0,1.0,E2,,,,,2.4,1.0,4,1.0,KEV,0.8,4.562294742445562e-19,5.702868428056951e-19,6.725514852544465,2.8022978552268603,18O,4,8,4,1,True,0.0,-0.0877
13,13,19,O,8,11,1471.7,0.4,1/2,0.88 PS 0.12,1471.7,0.0,2.0,0.2,E2,,,,,0.58,0.12,1,0.88,PS,0.12,8.8e-13,1.2e-13,1.7468290905623916,0.3614129152887707,19O,5/2,5,1,1,True,0.0,1.0409
14,14,20,O,8,12,1673.68,0.15,2,7.3 PS 0.3,1673.6,0.15,100.0,0.0,[E2],,,,,1.8,0.07,4,7.3,PS,0.3,7.3e-12,3e-13,5.804927324750454,0.2257471737402954,20O,0,0,1,1,True,0.0,1.4328
15,15,22,O,8,14,3199.0,8.0,2,0.40 PS 0.15,3199.0,8.0,100.0,0.0,E2,,,,,1.2,0.5,4,0.4,PS,0.15,4e-13,1.5e-13,4.394361435940092,1.8309839316417047,22O,0,0,1,1,True,0.0,1.3734
16,16,17,F,9,8,495.33,0.1,1/2,286 PS 6,495.32,0.1,100.0,0.0,[E2],,,,,25.0,0.5,1,286.0,PS,6.0,2.86e-10,6e-12,64.9166636503108,1.298333273006216,17F,5/2,5,1,1,True,-1.5451,0.0
17,17,18,F,9,9,937.2,0.06,3,46.9 PS 1.7,937.0,0.0,100.0,0.0,E2,,,,,5.8,0.2,6,46.9,PS,1.7,4.69e-11,1.6999999999999998e-12,16.25332756031579,0.560459571045372,18F,1,2,1,1,True,0.7299,0.7299
18,18,18,F,9,9,1121.36,0.15,5,162 NS 7,184.0,0.0,100.0,0.0,E2,,,,,5.78,0.25,10,162.0,NS,7.0,1.6200000000000002e-07,7.000000000000001e-09,16.197281603211252,0.7005744638067151,18F,3,6,1,1,True,-0.7026,-0.7026
19,19,18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,1657.0,0.0,40.0,4.0,E2,,,,,21.0,3.0,6,0.3,PS,0.02,3e-13,2e-14,58.84825495976406,8.40689356568058,18F,1,2,2,2,True,-0.4746,-0.4746
20,20,18,F,9,9,3358.2,1.0,3,0.30 PS 0.02,3358.0,0.0,45.0,5.0,E2,,,,,0.69,0.09,6,0.3,PS,0.02,3e-13,2e-14,1.9335855201065333,0.2522068069704174,18F,1,2,2,1,True,0.0267,0.0267
21,21,18,F,9,9,4115.9,0.25,3,63 FS 15,4116.0,0.0,5.0,3.0,E2,,,,,0.15,0.04,6,63.0,FS,15.0,6.300000000000001e-14,1.5000000000000002e-14,0.420344678284029,0.1120919142090744,18F,1,2,3,1,True,0.1052,-0.1052
22,22,18,F,9,9,5297.6,1.5,4,21 FS 3,2775.0,0.0,78.0,3.0,E2,,,,,17.0,6.0,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,47.63906353885663,16.81378713136116,18F,2,4,2,1,True,-0.1659,0.1659
