,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln
1,18,O,8,10,3920.44,0.14,2,18.4 FS 2,1938.0,0.0,87.6,0.7,M1,0.14,0.02,4,18.4,FS,2.0,1.84e-14,2e-15,0.2506690353697351,0.0358098621956764,18O,2,4,2,1,True,0.0,-0.09,0.0,0.09
2,18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1334.0,0.0,8.7,0.4,M1,0.111,0.008,4,7.0,FS,0.3,7e-15,3e-16,0.1987447351860043,0.0143239448782705,18O,2,4,3,2,True,0.0,0.1849,0.0,-0.1849
4,19,O,8,11,96.0,0.5,3/2,1.39 NS 0.05,96.0,0.0,100.0,0.0,M1,0.088,0.038,3,1.39,NS,0.05,1.39e-09,5.000000000000001e-11,0.1575633936609763,0.0680387381717852,19O,5/2,5,1,1,True,0.0,-0.0439,0.0,0.0439
6,18,F,9,9,1700.81,0.18,1,662 FS 19,659.0,0.0,70.2,1.3,M1,0.0805,0.0027,2,662.0,FS,19.0,6.62e-13,1.9e-14,0.1441346953375977,0.0048343313964163,18F,0,0,2,1,True,0.0268,-0.0268,0.3135,-0.3135
12,18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,777.0,0.0,50.0,3.0,M1,1.7,0.3,4,13.2,FS,1.9,1.32e-14,1.9e-15,3.0438382866324982,0.5371479329351467,18F,2,4,3,2,True,0.1563,-0.1563,0.3789,-0.3789
13,18,F,9,9,4115.9,0.25,3,63 FS 15,1054.0,0.0,95.0,3.0,M1,0.28,0.07,6,63.0,FS,15.0,6.300000000000001e-14,1.5000000000000002e-14,0.5013380707394703,0.1253345176848675,18F,2,4,3,2,True,-0.104,0.104,-0.1876,0.1876
14,18,F,9,9,4360.15,0.26,1,19 FS 7,1298.0,0.0,100.0,0.0,M1,0.5,0.2,2,19.0,FS,7.0,1.9e-14,7e-15,0.8952465548919113,0.3580986219567645,18F,2,4,4,2,True,0.1352,0.1352,-0.1352,-0.1352
15,18,F,9,9,5297.6,1.5,4,21 FS 3,646.0,0.0,1.3,0.3,M1,0.019,0.009,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.0340193690858926,0.0161144379880544,18F,4,8,2,1,True,-0.1606,0.1606,0.092,-0.092
16,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2047.0,0.0,1.5,0.3,M1,0.078,0.033,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.1396584625631381,0.0590862726228661,18F,3,6,4,3,True,-0.0149,0.0149,-0.0706,0.0706
17,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3640.0,0.0,5.5,0.4,M1,0.052,0.017,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0931056417087587,0.0304383828663249,18F,2,4,4,1,True,-0.0125,0.0125,0.1954,-0.1954
18,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3101.0,0.0,1.3,0.3,M1,0.019,0.01,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0340193690858926,0.0179049310978382,18F,2,4,4,2,True,0.0003,0.0003,-0.0003,-0.0003
19,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2324.0,0.0,25.0,1.6,M1,0.91,0.23,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,1.6293487299032785,0.4118134152502792,18F,2,4,4,3,True,0.0338,-0.0338,-0.1073,0.1073
21,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,1923.0,0.0,0.5,0.4,M1,0.06,0.05,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1074295865870293,0.0895246554891911,18F,1,2,5,4,True,0.0438,-0.0438,-0.3404,0.3404
22,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2925.0,0.0,2.3,0.3,M1,0.078,0.027,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1396584625631381,0.0483433139641632,18F,3,6,5,2,True,-0.1231,0.1231,0.265,-0.265
23,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2559.0,0.0,1.4,0.5,M1,0.071,0.034,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1271250107946513,0.0608767657326499,18F,1,2,5,3,True,-0.0034,0.0034,0.3106,-0.3106
24,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2444.0,0.0,15.8,1.4,M1,0.91,0.29,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,1.6293487299032785,0.5192430018373085,18F,2,4,5,3,True,-0.0925,-0.0925,0.0925,0.0925
25,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,4582.0,0.0,5.7,0.6,M1,0.05,0.015,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.0895246554891911,0.0268573966467573,18F,1,2,5,2,True,0.0424,-0.0424,0.0592,-0.0592
26,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2167.0,0.0,3.9,0.2,M1,0.33,0.11,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.5908627262286614,0.1969542420762204,18F,3,6,5,3,True,-0.071,-0.071,0.071,0.071
27,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,2195.0,0.0,2.4,1.7,M1,0.018,0.014,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.0322288759761088,0.0250669035369735,18F,3,6,5,3,True,-0.0212,-0.0212,0.0212,0.0212
28,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,1347.0,0.0,13.0,1.5,M1,0.62,0.2,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,1.11010572806597,0.3580986219567645,18F,2,4,5,4,True,0.0037,-0.0037,0.5821,-0.5821
29,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,3249.0,0.0,57.0,3.0,M1,0.14,0.03,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.2506690353697351,0.0537147932935146,18F,2,4,5,2,True,0.0105,-0.0105,-0.1442,0.1442
30,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,4685.0,0.0,6.8,1.7,M1,0.014,0.007,4,0.49,KEV,0.09,9.310805596827675e-19,5.0692163804950674e-18,0.0250669035369735,0.0125334517684867,18F,1,2,6,2,True,0.0124,0.0124,-0.0124,-0.0124
31,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,2270.0,0.0,2.3,0.5,M1,0.041,0.02,4,0.49,KEV,0.09,9.310805596827675e-19,5.0692163804950674e-18,0.0734102175011367,0.0358098621956764,18F,3,6,6,3,True,-0.2563,0.2563,0.1038,-0.1038
33,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,3423.0,0.0,21.0,3.0,M1,0.019,0.007,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0340193690858926,0.0125334517684867,18F,2,4,6,2,True,-0.0067,-0.0067,0.0067,0.0067
34,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,2646.0,0.0,9.0,2.0,M1,0.017,0.006,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0304383828663249,0.0107429586587029,18F,2,4,6,3,True,-0.0079,0.0079,0.094,-0.094
