,parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
9,20F,20Ne,b-,9,11,0.0,2,1,10,10,1633.7,2,1,99.9913,0.0008,4.9697,0.0011,0.065901084,0.000166917,0.002532844,True,4,4,0.059326,False,0.0
10,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,350.7,5/2,1,74.1,2.2,4.65,0.01,0.137591801,0.003168168,0.023025851,True,5,5,0.101136,False,0.0
11,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,0.0,3/2,1,9.6,3.0,5.67,0.16,0.013139915,0.004840924,0.368413615,True,5,3,0.01454,False,-1.0
12,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,1745.91,7/2,1,16.1,1.0,4.72,0.03,0.117109616,0.008089646,0.069077553,True,5,7,0.096662,False,1.0
13,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,3735.59,5/2,2,0.003,0.0,7.11,0.05,0.000477081,5.4926e-05,0.115129255,True,5,5,0.000743,False,0.0
14,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,4525.56,5/2,3,0.043,0.003,5.02,0.03,0.058693844,0.004054427,0.069077553,True,5,5,0.089363,False,0.0
15,21F,21Ne,b-,9,12,0.0,5/2,1,10,11,4684.56,3/2,2,0.077,0.04,4.5,0.3,0.194353585,0.1342547,0.690775528,True,5,3,0.182647,False,-1.0
16,22F,22Ne,b-,9,13,0.0,4,1,10,12,3357.2,4,1,3.1,0.6,6.7,0.1,0.001226288,0.000282363,0.230258509,True,8,8,0.000841,False,0.0
17,22F,22Ne,b-,9,13,0.0,4,1,10,12,5523.3,4,2,53.9,0.6,4.79,0.01,0.099676449,0.002295135,0.023025851,True,8,8,0.096495,False,0.0
18,22F,22Ne,b-,9,13,0.0,4,1,10,12,5641.2,3,1,16.4,0.7,5.26,0.02,0.033774782,0.001555386,0.046051702,True,8,6,0.032216,False,-1.0
19,22F,22Ne,b-,9,13,0.0,4,1,10,12,6345.0,4,3,7.0,0.3,5.34,0.02,0.02809264,0.001293714,0.046051702,True,8,8,0.011463,False,0.0
20,22F,22Ne,b-,9,13,0.0,4,1,10,12,7341.0,4,4,2.45,0.22,5.3,0.04,0.030802967,0.002837058,0.092103404,True,8,8,0.037716,False,0.0
21,23F,23Ne,b-,9,14,0.0,5/2,1,10,13,0.0,5/2,1,30.0,8.0,5.72,0.16,0.011710962,0.004314478,0.368413615,True,5,5,0.014905,False,0.0
22,23F,23Ne,b-,9,14,0.0,5/2,1,10,13,1822.0,3/2,1,10.9,0.1,5.66,0.11,0.013445983,0.003405657,0.25328436,True,5,3,0.00718,False,-1.0
23,23F,23Ne,b-,9,14,0.0,5/2,1,10,13,2314.8,5/2,1,6.3,0.1,5.75,0.15,0.010929305,0.003774848,0.345387764,True,5,5,0.014905,False,0.0
24,23F,23Ne,b-,9,14,0.0,5/2,1,10,13,3431.8,3/2,2,15.2,1.2,4.96,0.08,0.06738955,0.012413614,0.184206807,True,5,3,0.07858,False,-1.0
25,23F,23Ne,b-,9,14,0.0,5/2,1,10,13,3830.7,3/2,3,25.0,4.0,4.58,0.12,0.161656271,0.044667278,0.276310211,True,5,3,0.004147,False,-1.0
26,23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,0.0,3/2,1,66.9,1.3,5.27,0.02,0.033005974,0.001519981,0.046051702,True,5,3,0.013203,False,-1.0
27,23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,439.99,5/2,1,32.0,1.3,5.38,0.02,0.025620792,0.001179881,0.046051702,True,5,5,0.014516,False,0.0
28,23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,2076.0,7/2,1,1.1,0.04,5.82,0.02,0.009302347,0.000428389,0.046051702,True,5,7,0.001403,False,1.0
29,23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,2982.0,3/2,2,0.065,0.003,6.13,0.02,0.004556093,0.000209816,0.046051702,True,5,3,0.008026,False,-1.0
30,24Ne,24Na,b-,10,14,0.0,0,1,11,13,472.2,1,1,92.1,0.2,4.35,0.01,0.274531736,0.006321327,0.023025851,True,0,2,0.205172,False,1.0
31,24Ne,24Na,b-,10,14,0.0,0,1,11,13,1346.63,1,2,7.9,0.2,4.39,0.01,0.250375919,0.005765119,0.023025851,True,0,2,0.185368,False,1.0
32,25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,89.5,3/2,1,76.6,2.0,4.41,0.02,0.239107146,0.011011291,0.046051702,True,1,3,0.177538,False,1.0
33,25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,1069.32,1/2,1,19.5,2.0,4.7,0.06,0.122628822,0.016941798,0.138155106,True,1,1,0.112241,False,0.0
