,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
22,31,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,2270.0,0.0,2.3,0.5,M1,0.041,0.02,4,0.49,KEV,0.09,9.310805596827677e-19,5.0692163804950674e-18,0.0734102175011367,0.0358098621956764,18F,3,6,6,3,True,-0.2563,0.2563,0.1038,-0.1038,5.329151935219358,4.410687986830437,5.329151935219358,4.410687986830437,-71.61414273360619,-59.09930490299001,2.9771798520778536,2.4640715010225906
7,15,18,F,9,9,5297.6,1.5,4,21 FS 3,646.0,0.0,1.3,0.3,M1,0.019,0.009,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.0340193690858926,0.0161144379880544,18F,4,8,2,1,True,-0.1606,0.1606,0.092,-0.092,2.0151710353158396,1.6443240653439997,2.0151710353158396,1.6443240653439997,-58.25230918305908,-47.34825243587179,1.1257938744781224,0.918616796281564
34,45,19,F,9,10,6282.0,2.0,5/2,2.4 KEV,4728.0,0.0,20.0,2.0,M1,0.022,0.005,5,2.4,KEV,0.0,1.9009561426856504e-19,,0.039390848415244,0.0089524655489191,19F,3/2,3,5,1,True,0.0569,-0.0569,0.3407,-0.3407,0.76780144455184,0.84743863043449,0.76780144455184,0.84743863043449,-18.49724338628339,-20.51951829442585,0.4289393544982346,0.4734294024773687
60,71,21,Ne,10,11,4684.53,0.15,3/2,11 FS 3,4333.35,0.25,100.0,3.0,M1,0.015,0.005,3,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.0268573966467573,0.0089524655489191,21Ne,5/2,5,2,1,True,-0.0133,-0.1975,0.1017,0.1092,0.6132525639477137,0.5485954559872901,0.6132525639477137,0.5485954559872901,-21.839946515743524,-19.43186055818585,0.3425991977361529,0.30647790837278777
55,66,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1450.5,0.2,22.0,2.5,[M1],0.026,0.021,3,0.05,PS,0.04,5e-14,4e-14,0.0465528208543793,0.0376003553054602,21F,1/2,1,1,1,True,0.0804,-0.0097,0.363,-0.4337,0.7211497944050522,0.8249089800250001,0.7211497944050522,0.8249089800250001,-14.495268465944395,-16.724730984636867,0.4028769801145543,0.4608430056005586
54,65,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1730.28,0.08,100.0,2.5,[M1],0.07,0.06,3,0.05,PS,0.04,5e-14,4e-14,0.1253345176848675,0.1074295865870293,21F,5/2,5,1,1,True,0.2161,-0.0103,0.1842,-0.39,2.0468471508980355,1.9545935733968398,2.0468471508980355,1.9545935733968398,-15.335571834780808,-14.599310242592495,1.1434900284346567,1.0919517169814748
51,62,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,2431.43,0.99,7.1,2.9,[M1],0.0132,0.0055,2,8.1,FS,0.5,8.1e-15,5e-16,0.0236345090491464,0.009847712103811,20F,1,2,3,1,True,-0.0578,-0.0161,-0.2603,0.3342,0.2720144337930009,0.3275051995924901,0.2720144337930009,0.3275051995924901,-10.512376578339296,-12.860893837501697,0.1519633708340787,0.18296379865502238
32,43,19,F,9,10,6070.0,1.0,7/2,1.2 KEV,3290.0,0.0,23.0,3.0,M1,0.19,0.07,7,1.2,KEV,0.0,3.8019122853713e-19,,0.3401936908589263,0.1253345176848675,19F,9/2,9,3,1,True,-0.2667,0.0097,-0.0304,0.2874,2.4249381771736895,2.1580773463681595,2.4249381771736895,2.1580773463681595,-6.130074028737694,-5.34542001284375,1.3547140654601617,1.2056298024403125
65,77,22,Na,11,11,4319.0,0.5,1,17 FS 10,3662.0,0.0,100.0,0.0,M1,0.026,0.016,2,17.0,FS,10.0,1.7e-14,1.0000000000000002e-14,0.0465528208543793,0.0286478897565411,22Na,0,0,4,1,True,0.0043,-0.0043,0.3288,-0.3288,0.13636151456655998,0.20077676179344,0.13636151456655998,0.20077676179344,-1.9299852721650192,-3.3140687965930384,0.07617961707629049,0.112165788711419
164,199,34,Cl,17,17,2580.4,0.2,1,33 FS 8,2580.3,0.0,100.0,0.0,M1,0.038,0.01,2,33.0,FS,8.0,3.3000000000000005e-14,8e-15,0.0680387381717852,0.0179049310978382,34Cl,0,0,3,1,True,-0.0393,0.0393,-0.1513,0.1513,0.27164068391055995,0.2818375029256901,0.27164068391055995,0.2818375029256901,-2.9935413688703316,-3.1434504987605103,0.1517545720170726,0.1574511189528994
