,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
14,23,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2559.0,0.0,1.4,0.5,M1,0.071,0.034,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1271250107946513,0.0608767657326499,18F,1,2,5,3,True,-0.0034,0.0034,0.3106,-0.3106,0.04336173979924022,0.07174383216109496,0.3892712704332363,-0.010476509311196768,0.05354995111611231,-0.0014411969341012595,0.05354995111611231,0.0014411969341012595
148,177,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,3621.6,0.4,100.0,7.0,(M1),0.021,0.009,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,0.0376003553054602,0.0161144379880544,29Si,3/2,3,3,1,True,0.0203,0.0614,-0.0753,-0.0064,0.021646925883191122,0.022373572520050282,-0.030805994437672405,-0.06540821524048955,-0.0012559749900629457,-0.002666723927803057,0.0012559749900629457,0.002666723927803057
163,197,34,Cl,17,17,461.0,0.04,1,5.2 PS 0.4,461.0,0.04,100.0,0.0,M1,0.043,0.004,2,5.2,PS,0.4,5.200000000000001e-12,4e-13,0.0769912037207043,0.0071619724391352,34Cl,0,0,1,1,True,0.0094,-0.0094,-0.2776,0.2776,0.019982736189854747,0.039214790680312854,0.5352852048870989,0.08802812371365448,0.04469236809754772,0.007349699322956078,0.04469236809754772,0.007349699322956078
41,52,20,F,9,11,822.73,0.03,4,55 PS 4,166.78,0.05,66.8,2.4,[M1],0.0572,0.0048,8,55.0,PS,4.0,5.5e-11,4e-12,0.1024162058796346,0.0085943669269623,20F,3,6,1,1,True,-0.0074,0.0512,-0.0944,0.0505,0.06144445833952379,0.06225634836042459,-0.0742038171245418,-0.08839769860882148,-0.008241308726703665,-0.009817725734279728,0.008241308726703665,0.009817725734279728
107,123,26,Al,13,13,3753.63,0.13,0,5 FS 2,1902.93,0.0,3.0,0.4,[M1],0.017,0.007,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0304383828663249,0.0125334517684867,26Al,1,2,2,2,True,-0.0053,0.0053,-0.1318,0.1318,0.01844074330109497,0.024808030321363136,-0.08474960594676291,-0.4592959012566549,-0.0027973014208471842,-0.01515982361005423,0.0027973014208471842,0.01515982361005423
70,83,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,591.0,1.0,0.51,0.17,[M1],0.1,0.04,3,3.3,FS,0.4,3.3e-15,4e-16,0.1790493109783822,0.0716197243913529,23Na,1/2,1,2,1,True,-0.084,-0.0083,0.0056,0.0867,0.10418224920506151,0.09138427996969832,-0.041822492050615084,0.08615720030301685,-0.008096487472412973,0.016679319158392714,0.008096487472412973,0.016679319158392714
49,60,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2309.96,0.06,12.2,1.1,[M1],0.059,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1056390934772455,0.0250669035369735,20F,3,6,3,1,True,0.0032,-0.0428,0.1478,-0.1083,0.06063163940470077,0.06822755523789943,-0.027654905164419832,-0.1563992413203294,-0.003167061848164631,-0.017910966149498272,0.003167061848164631,0.017910966149498272
75,88,23,Na,11,12,6235.4,0.6,13/2,16 FS 8,701.0,1.0,12.0,6.0,(M1),0.4,0.3,13,16.0,FS,8.0,1.6e-14,8e-15,0.7161972439135291,0.5371479329351467,23Na,11/2,11,1,1,True,-0.0912,0.0317,-0.1979,0.2574,0.383571947682236,0.38927526310525706,0.04107013079441002,0.026811842236857397,0.027563496988977275,0.017994297034601613,0.027563496988977275,0.017994297034601613
142,171,27,Si,14,13,2909.9,0.2,9/2,52 FS 6,746.2,0.0,6.4,2.2,(M1),0.061,0.023,9,52.0,FS,6.0,5.2000000000000006e-14,6.000000000000001e-15,0.1092200796968131,0.0411813415250279,27Si,7/2,7,1,1,True,-0.0088,0.0171,-0.2013,0.1931,0.05574448712934754,0.07108520865613967,0.08615594869922061,-0.1653312894449126,0.01019471757494255,-0.019563429196006427,0.01019471757494255,0.019563429196006427
156,186,32,P,15,17,2740.36,0.06,1,14 FS 5,2227.57,0.07,100.0,1.5,M1,0.09,0.04,2,14.0,FS,5.0,1.4e-14,5.000000000000001e-15,0.161144379880544,0.0716197243913529,32P,0,0,4,1,True,0.0384,0.0253,0.2103,-0.2739,0.06009747578242463,0.07912125908139105,0.33225026908417077,0.120874899095655,0.05788880596309751,0.021060339842146822,0.05788880596309751,0.021060339842146822
